nohup: ignoring input
[I 2025-08-13 12:02:47,299] Trial 50 finished with value: 0.0610722393907672 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 13:15:47,400] Trial 51 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 14:28:44,687] Trial 52 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 15:41:26,873] Trial 53 finished with value: 0.061199506248253474 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 16:54:24,821] Trial 54 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 18:26:44,846] Trial 55 finished with value: 0.07214966422750879 and parameters: {'d_hidden': 512, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 19:16:07,408] Trial 56 finished with value: 0.09046748582074764 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 20:29:07,592] Trial 57 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 21:25:14,586] Trial 58 finished with value: 0.067956206582051 and parameters: {'d_hidden': 768, 'd_model': 64, 'mapping_size': 80}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 22:25:49,541] Trial 59 finished with value: 0.0686111632529665 and parameters: {'d_hidden': 128, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-13 23:03:40,382] Trial 60 finished with value: 0.07754460847753894 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 00:16:36,433] Trial 61 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 01:29:35,295] Trial 62 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 02:42:17,591] Trial 63 finished with value: 0.061199506248253474 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 03:46:04,278] Trial 64 finished with value: 0.0610722393907672 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 04:59:02,227] Trial 65 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 06:45:56,984] Trial 66 finished with value: 0.12335369063499886 and parameters: {'d_hidden': 512, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 08:00:43,925] Trial 67 finished with value: 0.09798456177252243 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 48}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 08:49:49,862] Trial 68 finished with value: 0.07088424661369494 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 09:31:49,015] Trial 69 finished with value: 0.08145714099148949 and parameters: {'d_hidden': 256, 'd_model': 64, 'mapping_size': 80}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 10:35:55,382] Trial 70 finished with value: 0.09265201780627308 and parameters: {'d_hidden': 128, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 11:48:53,931] Trial 71 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 12:52:40,355] Trial 72 finished with value: 0.0610722393907672 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 14:05:33,231] Trial 73 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 15:18:32,075] Trial 74 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 16:31:11,896] Trial 75 finished with value: 0.061199506248253474 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 17:34:58,879] Trial 76 finished with value: 0.0610722393907672 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 19:56:59,175] Trial 77 finished with value: 0.08504319253029764 and parameters: {'d_hidden': 768, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 20:34:49,055] Trial 78 finished with value: 0.07754460847753894 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 21:38:36,096] Trial 79 finished with value: 0.0610722393907672 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-14 22:51:32,571] Trial 80 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 00:04:27,675] Trial 81 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 01:17:26,492] Trial 82 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 02:30:26,266] Trial 83 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 03:43:24,029] Trial 84 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 05:30:16,170] Trial 85 finished with value: 0.12335369063499886 and parameters: {'d_hidden': 512, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 06:19:24,987] Trial 86 finished with value: 0.07088424661369494 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 06:54:19,281] Trial 87 finished with value: 0.0641513911910249 and parameters: {'d_hidden': 128, 'd_model': 64, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 08:06:59,342] Trial 88 finished with value: 0.061199506248253474 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 09:19:11,317] Trial 89 finished with value: 0.08610246554918584 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 32}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 10:32:11,667] Trial 90 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 11:45:09,733] Trial 91 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 12:57:42,295] Trial 92 finished with value: 0.08001600524203002 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 64}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 14:10:43,897] Trial 93 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 15:23:41,093] Trial 94 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 16:01:31,566] Trial 95 finished with value: 0.07754460847753894 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 18:15:02,934] Trial 96 finished with value: 0.07947627965346588 and parameters: {'d_hidden': 768, 'd_model': 16, 'mapping_size': 96}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 19:27:44,525] Trial 97 finished with value: 0.061199506248253474 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 128}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 20:40:43,424] Trial 98 finished with value: 0.057059360533455665 and parameters: {'d_hidden': 256, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
[I 2025-08-15 22:20:00,435] Trial 99 finished with value: 0.06995822634476352 and parameters: {'d_hidden': 512, 'd_model': 16, 'mapping_size': 112}. Best is trial 12 with value: 0.057059360533455665.
x ∈ [1.0, 8.0]
y ∈ [-2.0, 2.0]
t ∈ [0.0, 19.900000000000002]
Best trial:
  Value: 0.057059360533455665
  Params:
    d_hidden: 256
    d_model: 16
    mapping_size: 112
